ID,Sector_score,LOCATION_ID,PARA_A,Score_A,Risk_A,PARA_B,Score_B,Risk_B,TOTAL,numbers,Score_B.1,Risk_C,Money_Value,Score_MV,Risk_D,District_Loss,PROB,RiSk_E,History,Prob,Risk_F,Score,Inherent_Risk,CONTROL_RISK,Detection_Risk,Audit_Risk
0,2.37,16,0.01,0.2,0.002,0.007,0.2,0.0014,0.017,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.4034,0.4,0.5,0.28068
2,55.57,9,1.06,0.4,0.424,0.0,0.2,0.0,1.06,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.2,1.824,0.4,0.5,0.3648
3,55.57,16,2.42,0.6,1.452,3.53,0.6,2.118,5.95,5.0,0.2,1.0,6.31,0.4,2.524,2,0.2,0.4,0,0.2,0.0,3.8,7.494,0.4,0.5,1.4988
4,2.37,9,0.31,0.2,0.062,0.69,0.2,0.138,1.0,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.6,0.4,0.5,0.32
5,55.57,6,0.62,0.2,0.124,0.42,0.2,0.084,1.04,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.608,0.4,0.5,0.3216
6,1.85,16,9.19,0.6,5.514,4.2,0.6,2.52,13.39,5.0,0.2,1.0,0.52,0.2,0.104,2,0.2,0.4,0,0.2,0.0,3.6,9.538,0.4,0.5,1.9076
7,1.99,15,1.46,0.4,0.584,0.0,0.2,0.0,1.46,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.2,1.984,0.4,0.5,0.3968
8,1.85,9,7.37,0.6,4.422,1.64,0.4,0.656,9.01,5.0,0.2,1.0,0.08,0.2,0.016,2,0.2,0.4,0,0.2,0.0,3.0,6.494,0.4,0.5,1.2988
13,1.99,5,1.34,0.4,0.536,0.0,0.2,0.0,1.34,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.2,1.936,0.4,0.5,0.3872
15,21.61,4,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.4,0.4,0.5,0.28
16,2.37,35,3.35,0.6,2.01,0.99,0.2,0.198,4.34,5.0,0.2,1.0,0.12,0.2,0.024,2,0.2,0.4,0,0.2,0.0,2.4,3.632,0.4,0.5,0.7264
17,55.57,29,0.82,0.2,0.164,0.0,0.2,0.0,0.82,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.564,0.4,0.5,0.3128
18,21.61,19,0.53,0.2,0.106,0.62,0.2,0.124,1.15,5.0,0.2,1.0,0.01,0.2,0.002,2,0.2,0.4,0,0.2,0.0,2.0,1.632,0.4,0.5,0.3264
22,1.85,16,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.4,0.4,0.5,0.28
23,3.89,16,0.0,0.2,0.0,0.08,0.2,0.016,0.08,5.0,0.2,1.0,0.06,0.2,0.012,6,0.2,1.2,0,0.2,0.0,2.4,2.228,1.2,0.5,1.3368
24,55.57,9,0.0,0.2,0.0,1.96,0.4,0.784,1.96,5.0,0.2,1.0,0.4,0.2,0.08,2,0.2,0.4,0,0.2,0.0,2.6,2.264,0.4,0.5,0.4528
26,1.85,2,3.31,0.6,1.986,0.17,0.2,0.034,3.48,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.4,3.42,0.4,0.5,0.684
27,2.72,20,4.97,0.6,2.982,42.19,0.6,25.314,47.16,5.5,0.4,2.2,45.37,0.6,27.222,2,0.2,0.4,0,0.2,0.0,4.4,58.118,0.4,0.5,11.6236
28,2.72,19,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.4,0.4,0.5,0.28
29,59.85,9,0.06,0.2,0.012,0.0,0.2,0.0,0.06,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.412,0.4,0.5,0.2824
31,2.37,12,0.42,0.2,0.084,0.27,0.2,0.054,0.69,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.538,0.4,0.5,0.3076
32,2.72,12,3.62,0.6,2.172,8.37,0.4,3.348,11.99,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,3.0,6.92,0.4,0.5,1.384
33,2.72,9,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.4,0.4,0.5,0.28
34,55.57,18,0.36,0.2,0.072,0.54,0.2,0.108,0.9,5.0,0.2,1.0,0.21,0.2,0.042,2,0.2,0.4,0,0.2,0.0,2.0,1.622,0.4,0.5,0.3244
35,3.89,6,0.0,0.2,0.0,0.23,0.2,0.046,0.23,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.446,0.4,0.5,0.2892
37,55.57,11,0.27,0.2,0.054,0.0017,0.2,0.00034,0.2717,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.45434,0.4,0.5,0.290868
38,2.72,7,3.04,0.6,1.824,67.37,0.6,40.422,70.41,6.5,0.6,3.9,77.47,0.6,46.482,2,0.2,0.4,0,0.2,0.0,4.8,93.028,0.4,0.5,18.6056
39,3.41,31,12.62,0.6,7.572,80.06,0.6,48.036,92.68,5.5,0.4,2.2,43.53,0.6,26.118,4,0.2,0.8,0,0.2,0.0,4.6,84.726,0.8,0.5,33.8904
40,3.89,12,0.0,0.2,0.0,0.89,0.2,0.178,0.89,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.578,0.4,0.5,0.3156
42,55.57,15,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.4,0.4,0.5,0.28
43,2.72,4,5.65,0.6,3.39,67.16,0.6,40.296,72.81,6.0,0.6,3.6,27.23,0.6,16.338,2,0.2,0.4,0,0.2,0.0,4.8,64.024,0.4,0.5,12.8048
44,2.37,12,0.39,0.2,0.078,0.14,0.2,0.028,0.53,5.0,0.2,1.0,0.58,0.2,0.116,2,0.2,0.4,0,0.2,0.0,2.0,1.622,0.4,0.5,0.3244
45,1.99,8,1.71,0.4,0.684,0.0,0.2,0.0,1.71,5.0,0.2,1.0,0.09,0.2,0.018,2,0.2,0.4,0,0.2,0.0,2.2,2.102,0.4,0.5,0.4204
47,2.34,5,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.4,0.4,0.5,0.28
49,2.37,4,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,1.0,0.05,0.2,0.01,2,0.2,0.4,0,0.2,0.0,2.0,1.41,0.4,0.5,0.282
50,3.89,19,0.62,0.2,0.124,2.02,0.2,0.404,2.64,5.0,0.2,1.0,0.11,0.2,0.022,2,0.2,0.4,0,0.2,0.0,2.0,1.95,0.4,0.5,0.39
51,2.72,19,3.66,0.6,2.196,15.47,0.6,9.282,19.13,5.0,0.2,1.0,1.43,0.2,0.286,2,0.2,0.4,0,0.2,0.0,3.6,13.164,0.4,0.5,2.6328
52,3.89,37,2.4,0.6,1.44,16.63,0.6,9.978,19.03,5.0,0.2,1.0,1.16,0.2,0.232,2,0.2,0.4,0,0.2,0.0,3.6,13.05,0.4,0.5,2.61
53,55.57,4,0.23,0.2,0.046,0.0,0.2,0.0,0.23,5.0,0.2,1.0,,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.446,0.4,0.5,0.2892
54,1.99,SAFIDON,0.48,0.2,0.096,0.0,0.2,0.0,0.48,5.0,0.2,1.0,0.47,0.2,0.094,2,0.2,0.4,0,0.2,0.0,2.0,1.59,0.4,0.5,0.318
55,55.57,29,1.26,0.4,0.504,1.58,0.4,0.632,2.84,5.0,0.2,1.0,6.5,0.4,2.6,2,0.2,0.4,0,0.2,0.0,3.0,5.136,0.4,0.5,1.0272
56,2.37,1,3.75,0.6,2.25,1.25,0.4,0.5,5.0,6.0,0.6,3.6,11.25,0.6,6.75,6,0.2,1.2,0,0.2,0.0,4.6,14.3,1.2,0.5,8.58
57,2.72,9,1.65,0.4,0.66,20.86,0.6,12.516,22.51,5.0,0.2,1.0,16.91,0.6,10.146,2,0.2,0.4,0,0.2,0.0,3.8,24.722,0.4,0.5,4.9444
58,55.57,13,0.84,0.2,0.168,0.0,0.2,0.0,0.84,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.568,0.4,0.5,0.3136
59,3.89,12,0.0,0.2,0.0,0.79,0.2,0.158,0.79,5.0,0.2,1.0,15.82,0.6,9.492,2,0.2,0.4,0,0.2,0.0,2.4,11.05,0.4,0.5,2.21
60,1.85,43,2.49,0.6,1.494,0.29,0.2,0.058,2.78,5.0,0.2,1.0,0.49,0.2,0.098,2,0.2,0.4,0,0.2,0.0,2.4,3.05,0.4,0.5,0.61
61,55.57,12,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,1.0,3.57,0.2,0.714,2,0.2,0.4,0,0.2,0.0,2.0,2.114,0.4,0.5,0.4228
62,21.61,9,0.59,0.2,0.118,0.69,0.2,0.138,1.28,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.656,0.4,0.5,0.3312
63,1.99,30,0.66,0.2,0.132,0.0,0.2,0.0,0.66,5.0,0.2,1.0,0.73,0.2,0.146,2,0.2,0.4,0,0.2,0.0,2.0,1.678,0.4,0.5,0.3356
64,3.89,8,8.4,0.6,5.04,11.05,0.6,6.63,19.45,5.5,0.4,2.2,7.34,0.4,2.936,2,0.2,0.4,0,0.2,0.0,4.2,17.206,0.4,0.5,3.4412
65,2.72,15,2.68,0.6,1.608,38.32,0.6,22.992,41.0,5.0,0.2,1.0,7.17,0.4,2.868,2,0.2,0.4,0,0.2,0.0,3.8,28.868,0.4,0.5,5.7736
67,1.85,31,0.01,0.2,0.002,0.91,0.2,0.182,0.92,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.584,0.4,0.5,0.3168
69,59.85,4,0.15,0.2,0.03,0.0,0.2,0.0,0.15,5.0,0.2,1.0,0.05,0.2,0.01,2,0.2,0.4,0,0.2,0.0,2.0,1.44,0.4,0.5,0.288
70,2.37,16,0.17,0.2,0.034,0.04,0.2,0.008,0.21,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.442,0.4,0.5,0.2884
72,55.57,4,0.28,0.2,0.056,0.25,0.2,0.05,0.53,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.506,0.4,0.5,0.3012
73,55.57,15,1.85,0.4,0.74,4.16,0.6,2.496,6.01,5.0,0.2,1.0,1.65,0.2,0.33,2,0.2,0.4,0,0.2,0.0,3.4,4.966,0.4,0.5,0.9932
74,3.89,2,71.48,0.6,42.888,25.63,0.6,15.378,97.11,5.0,0.2,1.0,873.37,0.6,524.022,2,0.2,0.4,0,0.2,0.0,4.0,583.688,0.4,0.5,116.7376
75,55.57,6,2.24,0.6,1.344,7.26,0.6,4.356,9.5,5.0,0.2,1.0,0.24,0.2,0.048,2,0.2,0.4,0,0.2,0.0,3.6,7.148,0.4,0.5,1.4296
76,55.57,19,1.49,0.4,0.596,0.0,0.2,0.0,1.49,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.2,1.996,0.4,0.5,0.3992
77,3.89,37,0.0,0.2,0.0,0.75,0.2,0.15,0.75,5.0,0.2,1.0,6.78,0.4,2.712,2,0.2,0.4,0,0.2,0.0,2.2,4.262,0.4,0.5,0.8524
78,59.85,43,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.4,0.4,0.5,0.28
79,2.72,5,1.9,0.4,0.76,35.04,0.6,21.024,36.94,6.5,0.6,3.9,16.19,0.6,9.714,2,0.2,0.4,0,0.2,0.0,4.6,35.798,0.4,0.5,7.1596
80,3.41,31,16.36,0.6,9.816,41.1,0.6,24.66,57.46,5.0,0.2,1.0,12.03,0.6,7.218,4,0.2,0.8,0,0.2,0.0,4.2,43.494,0.8,0.5,17.3976
82,55.57,32,0.29,0.2,0.058,0.39,0.2,0.078,0.68,5.5,0.4,2.2,0.05,0.2,0.01,2,0.2,0.4,0,0.2,0.0,2.4,2.746,0.4,0.5,0.5492
84,55.57,11,0.98,0.2,0.196,0.0,0.2,0.0,0.98,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.596,0.4,0.5,0.3192
85,55.57,16,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,1.0,0.02,0.2,0.004,2,0.2,0.4,0,0.2,0.0,2.0,1.404,0.4,0.5,0.2808
86,1.99,12,1.52,0.4,0.608,0.0,0.2,0.0,1.52,5.0,0.2,1.0,6.96,0.4,2.784,2,0.2,0.4,0,0.2,0.0,2.4,4.792,0.4,0.5,0.9584
87,1.85,8,8.94,0.6,5.364,1.32,0.4,0.528,10.26,5.0,0.2,1.0,0.02,0.2,0.004,2,0.2,0.4,0,0.2,0.0,3.0,7.296,0.4,0.5,1.4592
88,55.57,13,0.25,0.2,0.05,0.0017,0.2,0.00034,0.2517,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.45034,0.4,0.5,0.290068
90,3.41,12,25.4,0.6,15.24,51.74,0.6,31.044,77.14,5.0,0.2,1.0,12.67,0.6,7.602,6,0.2,1.2,2,0.6,1.2,4.8,57.286,2.4,0.5,68.7432
91,1.85,9,0.64,0.2,0.128,0.95,0.2,0.19,1.59,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,1,0.4,0.4,2.2,2.118,0.8,0.5,0.8472
92,59.85,13,0.07,0.2,0.014,0.0,0.2,0.0,0.07,5.0,0.2,1.0,10.4,0.6,6.24,2,0.2,0.4,0,0.2,0.0,2.4,7.654,0.4,0.5,1.5308
93,55.57,9,0.88,0.2,0.176,0.54,0.2,0.108,1.42,5.0,0.2,1.0,0.11,0.2,0.022,2,0.2,0.4,0,0.2,0.0,2.0,1.706,0.4,0.5,0.3412
94,3.89,7,1.1,0.4,0.44,7.41,0.4,2.964,8.51,5.0,0.2,1.0,44.95,0.6,26.97,2,0.2,0.4,0,0.2,0.0,3.2,31.774,0.4,0.5,6.3548
95,3.41,19,0.91,0.2,0.182,0.0,0.2,0.0,0.91,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.582,0.4,0.5,0.3164
96,3.89,23,4.18,0.6,2.508,2.5,0.2,0.5,6.68,5.0,0.2,1.0,3.38,0.2,0.676,2,0.2,0.4,0,0.2,0.0,2.4,8.574,0.4,0.5,1.7148
97,55.57,12,0.7,0.2,0.14,0.0,0.2,0.0,0.7,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.54,0.4,0.5,0.308
98,55.57,4,0.49,0.2,0.098,0.0,0.2,0.0,0.49,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.498,0.4,0.5,0.2996
99,55.57,8,0.45,0.2,0.09,8.27,0.6,4.962,8.72,5.0,0.2,1.0,9.43,0.4,3.772,4,0.2,0.8,0,0.2,0.0,3.6,10.624,0.8,0.5,4.2496
102,55.57,25,0.5,0.2,0.1,0.0,0.2,0.0,0.5,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.5,0.4,0.5,0.3
103,1.85,12,0.6,0.2,0.12,1.14,0.4,0.456,1.74,5.0,0.2,1.0,0.43,0.2,0.086,2,0.2,0.4,0,0.2,0.0,2.6,2.062,0.4,0.5,0.4124
104,3.89,11,0.0,0.2,0.0,6.8,0.4,2.72,6.8,5.0,0.2,1.0,47.9,0.6,28.74,2,0.2,0.4,0,0.2,0.0,3.0,32.86,0.4,0.5,6.572
105,59.85,11,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,1.0,0.7,0.2,0.14,2,0.2,0.4,0,0.2,0.0,2.0,1.54,0.4,0.5,0.308
106,21.61,5,0.33,0.2,0.066,0.0,0.2,0.0,0.33,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.466,0.4,0.5,0.2932
107,1.85,31,2.48,0.6,1.488,0.0,0.2,0.0,2.48,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.4,2.888,0.4,0.5,0.5776
109,1.85,19,0.99,0.2,0.198,0.11,0.2,0.022,1.1,5.0,0.2,1.0,0.0,0.2,0.0,6,0.2,1.2,0,0.2,0.0,2.4,2.42,1.2,0.5,1.452
110,2.37,19,1.62,0.4,0.648,0.49,0.2,0.098,2.11,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.2,2.146,0.4,0.5,0.4292
111,1.85,4,2.43,0.6,1.458,0.27,0.2,0.054,2.7,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.4,2.912,0.4,0.5,0.5824
112,1.85,32,1.39,0.4,0.556,1.1,0.4,0.44,2.49,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.8,2.396,0.4,0.5,0.4792
113,2.37,12,1.65,0.4,0.66,0.02,0.2,0.004,1.67,5.0,0.2,1.0,27.99,0.6,16.794,2,0.2,0.4,0,0.2,0.0,2.6,18.858,0.4,0.5,3.7716
115,2.37,28,1.29,0.4,0.516,0.25,0.2,0.05,1.54,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.2,1.966,0.4,0.5,0.3932
116,21.61,29,0.63,0.2,0.126,0.69,0.2,0.138,1.32,5.0,0.2,1.0,0.32,0.2,0.064,2,0.2,0.4,0,0.2,0.0,2.0,1.728,0.4,0.5,0.3456
117,2.37,5,0.02,0.2,0.004,0.87,0.2,0.174,0.89,5.0,0.2,1.0,0.04,0.2,0.008,2,0.2,0.4,0,0.2,0.0,2.0,1.586,0.4,0.5,0.3172
119,1.85,13,4.99,0.6,2.994,0.64,0.2,0.128,5.63,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.4,4.522,0.4,0.5,0.9044
122,55.57,5,0.15,0.2,0.03,0.0,0.2,0.0,0.15,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.43,0.4,0.5,0.286
123,55.57,8,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,1.0,0.0,0.2,0.0,4,0.2,0.8,0,0.2,0.0,2.2,1.8,0.8,0.5,0.72
125,55.57,19,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.4,0.4,0.5,0.28
126,55.57,8,0.68,0.2,0.136,0.0,0.2,0.0,0.68,5.0,0.2,1.0,0.0,0.2,0.0,4,0.2,0.8,0,0.2,0.0,2.2,1.936,0.8,0.5,0.7744
127,3.89,32,0.0,0.2,0.0,0.85,0.2,0.17,0.85,5.0,0.2,1.0,0.0,0.2,0.0,4,0.2,0.8,0,0.2,0.0,2.2,1.97,0.8,0.5,0.788
128,55.57,32,0.3,0.2,0.06,0.0023,0.2,0.00046,0.3023,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.46046,0.4,0.5,0.292092
129,3.89,9,6.32,0.6,3.792,9.01,0.4,3.604,15.33,5.0,0.2,1.0,8.31,0.4,3.324,2,0.2,0.4,0,0.2,0.0,3.2,12.12,0.4,0.5,2.424
130,21.61,11,0.75,0.2,0.15,0.9,0.2,0.18,1.65,5.0,0.2,1.0,1.4,0.2,0.28,2,0.2,0.4,0,0.2,0.0,2.0,2.01,0.4,0.5,0.402
131,3.89,16,0.0,0.2,0.0,1.1,0.2,0.22,1.1,5.0,0.2,1.0,0.0,0.2,0.0,6,0.2,1.2,0,0.2,0.0,2.4,2.42,1.2,0.5,1.452
132,3.89,32,4.93,0.6,2.958,6.54,0.4,2.616,11.47,5.5,0.4,2.2,12.91,0.6,7.746,4,0.2,0.8,0,0.2,0.0,4.0,16.32,0.8,0.5,6.528
134,21.61,5,0.28,0.2,0.056,0.16,0.2,0.032,0.44,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.488,0.4,0.5,0.2976
135,1.99,8,1.89,0.4,0.756,0.0,0.2,0.0,1.89,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.2,2.156,0.4,0.5,0.4312
136,2.37,2,0.9,0.2,0.18,0.29,0.2,0.058,1.19,5.0,0.2,1.0,1.22,0.2,0.244,6,0.2,1.2,0,0.2,0.0,2.4,2.682,1.2,0.5,1.6092
137,3.41,11,1.21,0.4,0.484,0.0,0.2,0.0,1.21,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.2,1.884,0.4,0.5,0.3768
138,2.72,11,3.11,0.6,1.866,113.97,0.6,68.382,117.08,5.5,0.4,2.2,26.64,0.6,15.984,2,0.2,0.4,0,0.2,0.0,4.4,88.832,0.4,0.5,17.7664
139,2.37,16,1.27,0.4,0.508,1.01,0.4,0.404,2.28,5.0,0.2,1.0,1.15,0.2,0.23,2,0.2,0.4,0,0.2,0.0,2.8,2.542,0.4,0.5,0.5084
140,2.37,2,17.53,0.6,10.518,0.0,0.2,0.0,17.53,6.5,0.6,3.9,94.75,0.6,56.85,6,0.2,1.2,4,0.6,2.4,4.4,74.868,3.6,0.5,134.7624
141,55.57,16,0.2,0.2,0.04,0.0,0.2,0.0,0.2,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.44,0.4,0.5,0.288
142,55.57,9,0.49,0.2,0.098,0.4,0.2,0.08,0.89,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.578,0.4,0.5,0.3156
144,55.57,9,0.92,0.2,0.184,0.0,0.2,0.0,0.92,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.584,0.4,0.5,0.3168
145,2.37,12,2.22,0.6,1.332,6.23,0.6,3.738,8.45,5.0,0.2,1.0,0.89,0.2,0.178,2,0.2,0.4,0,0.2,0.0,3.6,6.648,0.4,0.5,1.3296
146,1.85,19,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,1.0,0.0,0.2,0.0,6,0.2,1.2,0,0.2,0.0,2.4,2.2,1.2,0.5,1.32
147,1.85,6,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.4,0.4,0.5,0.28
148,2.37,28,0.44,0.2,0.088,0.02,0.2,0.004,0.46,5.0,0.2,1.0,27.1,0.6,16.26,6,0.2,1.2,0,0.2,0.0,2.8,18.552,1.2,0.5,11.1312
149,55.57,5,0.71,0.2,0.142,0.0,0.2,0.0,0.71,5.0,0.2,1.0,0.0,0.2,0.0,2,0.2,0.4,0,0.2,0.0,2.0,1.542,0.4,0.5,0.3084
150,59.85,32,0.0,0.2,0.0,0.0,0.2,0.0,0.0,5.0,0.2,1.0,2.86,0.2,0.572,2,0.2,0.4,0,0.2,0.0,2.0,1.972,0.4,0.5,0.3944
152,1.99,12,0.43,0.2,0.086,0.0,0.2,0.0,0.43,5.0,0.2,1.0,13.54,0.6,8.124,2,0.2,0.4,0,0.2,0.0,2.4,9.61,0.4,0.5,1.922
154,1.85,19,2.81,0.6,1.686,0.11,0.2,0.022,2.92,5.0,0.2,1.0,19.45,0.6,11.67,6,0.2,1.2,0,0.2,0.0,3.2,15.578,1.2,0.5,9.3468
155,1.85,2,11.24,0.6,6.744,9.49,0.6,5.694,20.73,5.5,0.4,2.2,173.02,0.6,103.812,2,0.2,0.4,0,0.2,0.0,4.4,118.85,0.4,0.5,23.77
